Player,Nation,Pos,Squad,25/26 Lg,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,Accurate passes per 90,Chances Created
Abdoul Coulibaly,Germany,CB,Werder Bremen,Bundesliga,19,2007,27,24,2120,23.6,1,0,1,1,0,0,5,1,18.0,9.0,1.0,13.0,24.0,14.0,52.8,7
Abdoul Kone,France,CB,RB Leipzig,Ligue 2,21,2005,28,25,2247,25.0,1,1,2,1,0,0,9,1,30.0,39.0,0.0,3.0,25.0,23.0,58.3,4
Aboubaka Soumahoro,France,CB,Hamburger SV,Bundesliga,21,2005,4,2,136,1.5,0,0,0,0,0,0,1,0,3.0,0.0,1.0,1.0,0.0,0.0,-,1
Adam Daghim,Denmark,FW,Hoffenheim,Bundesliga,20,2005,27,12,1364,15.2,2,3,5,2,0,0,3,0,18.0,23.0,4.0,20.0,11.0,20.0,17.6,18
Afonso Moreira,Portugal,FW,Leverkusen,Ligue 1,21,2005,37,18,1722,19.1,8,10,11,4,0,0,3,0,27.0,57.0,4.0,119.0,12.0,22.0,34.0,33
Aleksandar Pavlovic,Germany,MF,Bayern Munich,Bundesliga,22,2004,24,16,1462,16.2,3,1,4,3,0,0,2,0,19.0,10.0,0.0,15.0,13.0,15.0,93.0,21
Alessandro Vogt,Switzerland,FW,Hoffenheim,Swiss Super League,21,2005,35,31,2292,25.5,15,3,18,14,1,1,6,0,54.0,45.0,7.0,17.0,0.0,11.0,4.9,23
Alexander Røssing-Lelesiit,Norway,FW,Hamburger SV,Bundesliga,19,2007,11,5,321,3.6,0,1,1,0,0,0,3,1,13.0,7.0,1.0,4.0,1.0,2.0,-,-
Aljoscha Kemlein,Germany,MF,Union Berlin,Bundesliga,22,2004,30,23,1959,21.8,0,2,2,0,0,0,4,0,22.0,11.0,0.0,9.0,18.0,25.0,33.9,14
Andrija Maksimović,Serbia,FW,RB Leipzig,Bundesliga,19,2007,8,0,93,1.0,0,0,0,0,0,0,0,0,1.0,2.0,0.0,2.0,0.0,0.0,-,3
Anton Kade,Germany,FW,Augsburg,Bundesliga,22,2004,28,18,1743,19.4,6,0,6,6,0,0,3,0,20.0,18.0,10.0,22.0,13.0,14.0,16.9,26
Antonio Nusa,Norway,FW,RB Leipzig,Bundesliga,21,2005,31,24,2027,22.5,4,3,7,4,0,0,0,0,9.0,64.0,1.0,68.0,7.0,14.0,20.7,33
Arijon Ibrahimović,Germany,MF,Bayern Munich,Bundesliga,20,2005,32,25,2169,24.1,2,4,6,1,1,1,2,0,13.0,27.0,5.0,127.0,23.0,18.0,24.2,56
Arthur Vermeeren,Belgium,MF,RB Leipzig,Ligue 1,21,2005,26,10,828,9.2,0,2,1,0,0,0,1,1,15.0,1.0,0.0,3.0,11.0,11.0,55.3,11
Assan Ouédraogo,Germany,MF,RB Leipzig,Bundesliga,20,2006,19,13,948,10.5,4,3,7,4,0,0,0,0,4.0,22.0,1.0,4.0,3.0,6.0,23.3,14
Axel Tapé,France,CB,Leverkusen,Bundesliga,19,2007,6,2,222,2.5,0,0,0,0,0,0,1,0,7.0,7.0,0.0,0.0,1.0,1.0,-,-
Ayodele Thomas,Netherlands,FW,RB Leipzig,Eerste Divisie,19,2007,18,18,1454,16.2,3,2,5,3,0,0,5,0,20.0,40.0,6.0,25.0,6.0,14.0,-,-
Ayoube Amaimouni,Morocco,FW,Frankfurt,Bundesliga,22,2004,17,6,586,6.5,2,3,5,2,0,0,1,0,8.0,10.0,6.0,30.0,2.0,5.0,15.1,6
Badredine Bouanani,Algeria,MF,Stuttgart,Bundesliga,21,2004,14,5,463,5.1,0,0,0,0,0,0,1,0,1.0,6.0,1.0,26.0,4.0,3.0,-,5
Bara Sapoko Ndiaye,Senegal,MF,Bayern Munich,Bundesliga,19,2007,4,2,143,1.6,0,0,0,0,0,0,0,0,1.0,3.0,0.0,1.0,2.0,5.0,-,-
